                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 6.8442,                      0,                      0,                      0,                      0,                      0,                      0,                 11.169,                      0,             0.00033081,             0.00033081,             0.00033081
                      2,                      0,                 4.8396,                      0,                      0,                      0,                      0,                      0,                      0,                  7.513,                      0,             0.00065099,             0.00065099,             0.00065099
                      3,                      0,                 2.7728,                      0,                      0,                      0,                      0,                      0,                      0,                 4.0274,                      0,             0.00095797,             0.00095797,             0.00095797
                      4,                      0,                 1.2721,                      0,                      0,                      0,                      0,                      0,                      0,                 1.6593,                      0,              0.0009406,              0.0009406,              0.0009406
