                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 93.977,                      0,                      0,                      0,                      0,                      0,                      0,                 117.27,                      0,             0.00032828,             0.00032828,             0.00032828
                      2,                      0,                 61.554,                      0,                      0,                      0,                      0,                      0,                      0,                 82.414,                      0,             0.00064852,             0.00064852,             0.00064852
                      3,                      0,                 38.919,                      0,                      0,                      0,                      0,                      0,                      0,                 49.485,                      0,             0.00095555,             0.00095555,             0.00095555
                      4,                      0,                 19.568,                      0,                      0,                      0,                      0,                      0,                      0,                 24.501,                      0,              0.0009406,              0.0009406,              0.0009406
                      5,                      0,                  8.429,                      0,                      0,                      0,                      0,                      0,                      0,                 8.5669,                      0,              0.0009208,              0.0009208,              0.0009208
